Wall time,Step,Value
1685262226.5131006,999,17.356889724731445
1685262853.5932074,1999,37.413570404052734
1685263480.2425246,2999,41.65584945678711
1685264104.907657,3999,43.08119583129883
1685264733.6700296,4999,45.99451446533203
1685265362.2594347,5999,45.77507400512695
1685265994.2561464,6999,50.486534118652344
1685266623.832399,7999,55.0517463684082
1685267257.353694,8999,50.99372482299805
1685267890.7399917,9999,55.40467834472656
1685268526.1891744,10999,54.64713668823242
1685269161.5429647,11999,52.926551818847656
1685269798.4697776,12999,55.21023941040039
1685270432.0900366,13999,55.368560791015625
1685271068.4739802,15000,57.52245330810547
