Wall time,Step,Value
1685272782.4301407,999,15.11999797821045
1685273393.9200962,1999,42.582584381103516
1685274002.3664792,2999,45.842872619628906
1685274610.8779016,3999,47.13213348388672
1685275217.832306,4999,45.95109939575195
1685275824.901449,5999,50.34890365600586
1685276430.956329,6999,51.06616973876953
1685277038.4178457,7999,52.317256927490234
1685277642.431999,8999,52.833465576171875
1685278246.5164194,9999,54.32611846923828
1685278851.3957074,10999,54.276084899902344
1685279457.0286648,11999,53.10256576538086
1685280064.2480874,12999,56.494815826416016
1685280671.8939264,13999,55.20772933959961
1685281279.5464704,15000,56.36738967895508
