Wall time,Step,Value
1684841911.0384507,3,0.1574999988079071
1684841911.0384629,4,0.2199999988079071
1684841911.0385368,10,0.5141666531562805
1684841911.038874,14,0.6524999737739563
1684841911.0389535,15,0.6700000166893005
1684841911.0391908,18,0.7183333039283752
1684841911.03927,19,0.7391666769981384
1684841911.039349,20,0.7641666531562805
1684841911.0395074,22,0.7850000262260437
1684841911.0395856,23,0.7908333539962769
1684841911.039799,26,0.8083333373069763
1684841911.0398638,27,0.8100000023841858
1684841911.040577,38,0.8541666865348816
1684841911.0407052,40,0.8641666769981384
1684841911.0411599,47,0.8733333349227905
1684841911.0412242,48,0.878333330154419
1684841911.0412936,49,0.8725000023841858
1684841911.0414274,51,0.8791666626930237
1684841911.041615,54,0.8799999952316284
1684841911.0418072,57,0.8899999856948853
1684841911.0420005,60,0.8849999904632568
1684841911.0420654,61,0.89083331823349
1684841911.0421484,62,0.8966666460037231
1684841911.0422165,63,0.8941666483879089
1684841911.0423453,65,0.8958333134651184
1684841911.04241,66,0.8933333158493042
1684841911.042473,67,0.8949999809265137
1684841911.042537,68,0.8983333110809326
1684841911.042777,70,0.8983333110809326
1684841911.0428672,71,0.9008333086967468
1684841911.0434039,77,0.8949999809265137
1684841911.0435722,79,0.8949999809265137
1684841911.043824,82,0.8983333110809326
1684841911.044073,85,0.9041666388511658
1684841911.044418,89,0.9083333611488342
1684841911.0454175,99,0.9083333611488342
1684841911.0457575,103,0.8991666436195374
1684841911.0459557,106,0.8983333110809326
1684841911.0460525,107,0.8991666436195374
1684841911.0462039,109,0.9058333039283752
1684841911.0467536,116,0.9075000286102295
1684841911.0471332,121,0.903333306312561
1684841911.0474958,125,0.9024999737739563
1684841911.047584,126,0.903333306312561
1684841911.0477562,128,0.9016666412353516
1684841911.0479312,130,0.8999999761581421
1684841911.0484436,136,0.9049999713897705
1684841911.04853,137,0.9041666388511658
1684841911.0491738,144,0.9041666388511658
1684841911.0493376,146,0.9049999713897705
1684841911.0494199,147,0.903333306312561
1684841911.0496743,150,0.8983333110809326
1684841911.050358,157,0.9008333086967468
1684841911.0506432,160,0.9049999713897705
1684841911.0508041,162,0.9041666388511658
1684841911.050966,164,0.9049999713897705
1684841911.051428,170,0.8991666436195374
1684841911.0515049,171,0.9016666412353516
1684841911.0515807,172,0.9008333086967468
1684841911.0519683,177,0.8999999761581421
1684841911.0522814,181,0.9016666412353516
1684841911.0525317,184,0.903333306312561
1684841911.0526092,185,0.9049999713897705
1684841911.0526938,186,0.9049999713897705
1684841911.0530136,190,0.9049999713897705
1684841911.053087,191,0.903333306312561
1684841911.053196,192,0.903333306312561
1684841911.053658,199,0.9100000262260437
1684841911.0538838,202,0.9066666960716248
1684841911.0539598,203,0.9058333039283752
1684841911.0540347,204,0.9058333039283752
1684841911.05413,205,0.9058333039283752
1684841911.0542717,207,0.9058333039283752
1684841911.0545356,211,0.9075000286102295
1684841911.0546875,213,0.9075000286102295
1684841911.0547976,215,0.9058333039283752
1684841911.055027,219,0.9108333587646484
1684841911.0550473,220,0.9116666913032532
1684841911.0551524,221,0.9108333587646484
1684841911.055254,224,0.9133333563804626
1684841911.055524,229,0.9141666889190674
1684841911.0561073,239,0.9125000238418579
1684841911.0561893,241,0.9116666913032532
1684841911.0563784,244,0.9125000238418579
1684841911.056439,245,0.9125000238418579
1684841911.0565255,246,0.9133333563804626
1684841911.056937,254,0.9158333539962769
1684841911.0571444,258,0.9116666913032532
1684841911.057209,259,0.9133333563804626
1684841911.0572684,260,0.9116666913032532
1684841911.057935,271,0.9100000262260437
1684841911.0581236,274,0.9141666889190674
1684841911.058273,276,0.9116666913032532
1684841911.0583994,278,0.9125000238418579
1684841911.058438,280,0.9125000238418579
1684841911.05856,282,0.9075000286102295
1684841911.0587597,285,0.9125000238418579
1684841911.0589445,288,0.9125000238418579
1684841911.0590723,290,0.9133333563804626
1684841911.0593822,295,0.9141666889190674
1684841911.0595076,297,0.9116666913032532
1684841911.0595944,298,0.9116666913032532
1684841911.060072,306,0.9075000286102295
1684841911.0601964,308,0.909166693687439
1684841911.0603592,312,0.9100000262260437
1684841911.0606313,316,0.9100000262260437
1684841911.0606673,318,0.9108333587646484
1684841911.060728,319,0.9108333587646484
1684841911.0608914,322,0.9108333587646484
1684841911.0617206,337,0.909166693687439
1684841911.0617845,338,0.9100000262260437
1684841911.0620875,343,0.9125000238418579
1684841911.0622287,345,0.9133333563804626
1684841911.0622907,346,0.9125000238418579
1684841911.0626657,352,0.9116666913032532
1684841911.0628533,354,0.9116666913032532
1684841911.063212,358,0.9141666889190674
1684841911.0635436,362,0.9133333563804626
1684841911.0636172,363,0.9125000238418579
1684841911.0636914,364,0.9150000214576721
1684841911.0637794,365,0.9150000214576721
1684841911.063855,366,0.9133333563804626
1684841911.0639274,367,0.9150000214576721
1684841911.0647283,378,0.9150000214576721
1684841911.065308,386,0.9150000214576721
1684841911.065624,390,0.9175000190734863
1684841911.0657864,392,0.9175000190734863
1684841911.0659347,394,0.9150000214576721
1684841911.0661697,397,0.9166666865348816
1684841911.0665357,402,0.9166666865348816
1684841911.0666788,404,0.9175000190734863
1684841911.06705,409,0.9200000166893005
1684841911.0673392,413,0.9200000166893005
1684841911.0674114,414,0.9200000166893005
1684841911.0674841,415,0.92166668176651
1684841911.0679152,421,0.9158333539962769
1684841911.0679865,422,0.9175000190734863
1684841911.0682003,425,0.9191666841506958
