Wall time,Step,Value
1685374569.3155684,999,20.82098960876465
1685375183.4779153,1999,49.396568298339844
1685375801.861725,2999,56.291385650634766
1685376429.414822,3999,63.91623306274414
1685377048.2542465,4999,63.06765365600586
1685377664.5959232,5999,65.37367248535156
1685378281.7788672,6999,65.94647216796875
1685378895.6571465,7999,70.33959197998047
1685379510.4850998,8999,68.15965270996094
1685380124.8158872,9999,69.4295425415039
1685380740.5929608,10999,65.26026916503906
1685381359.8073635,11999,67.74652862548828
1685381981.1570995,12999,69.14161682128906
1685382600.7191565,13999,68.2798080444336
1685383218.015652,15000,71.9863052368164
