Wall time,Step,Value
1685447834.1150792,999,18.241436004638672
1685448443.646899,1999,53.51783752441406
1685449047.9192443,2999,60.00757598876953
1685449647.3954377,3999,61.061431884765625
1685450250.7557158,4999,63.67341613769531
1685450855.3478374,5999,66.71417999267578
1685451469.119651,6999,68.25541687011719
1685452082.081006,7999,69.4835433959961
1685452686.6117754,8999,70.12081909179688
1685453295.8310444,9999,70.65235137939453
1685453898.165688,10999,71.37179565429688
1685454504.9175766,11999,69.72834014892578
1685455112.288139,12999,70.44876861572266
1685455717.5408716,13999,67.79640197753906
1685456328.7201855,15000,70.67346954345703
