Wall time,Step,Value
1685272782.4332764,999,17.57551383972168
1685273393.9227636,1999,51.059757232666016
1685274002.3691914,2999,55.02861785888672
1685274610.880914,3999,57.80802917480469
1685275217.8342674,4999,56.983436584472656
1685275824.9040844,5999,63.183746337890625
1685276430.9589384,6999,62.43080139160156
1685277038.4207025,7999,64.36151123046875
1685277642.4342709,8999,64.06454467773438
1685278246.5191998,9999,65.42008972167969
1685278851.3976636,10999,64.43611907958984
1685279457.030773,11999,65.11936950683594
1685280064.2505116,12999,67.4441146850586
1685280671.8956518,13999,66.7655258178711
1685281279.5483892,15000,66.8712387084961
