Wall time,Step,Value
1678966280.7133882,36,0.3522222340106964
1678966280.7134144,72,0.5569444298744202
1678966280.713429,108,0.6322222352027893
1678966280.713442,144,0.6677777767181396
1678966280.7134542,180,0.6894444227218628
1678966280.7134666,216,0.7049999833106995
1678966280.7134786,252,0.7127777934074402
1678966280.7134905,288,0.7225000262260437
1678966280.7135024,324,0.7266666889190674
1678966280.7135143,360,0.7291666865348816
1678966280.713526,396,0.7344444394111633
1678966280.7135966,432,0.7366666793823242
1678966280.713678,468,0.7416666746139526
1678966280.713751,504,0.7430555820465088
1678966280.7138236,540,0.7447222471237183
1678966280.7138972,576,0.7458333373069763
1678966280.7139688,612,0.7477777600288391
1678966280.7140791,648,0.7497222423553467
1678966280.7141576,684,0.7497222423553467
1678966280.7142298,720,0.7502777576446533
1678966280.7143025,756,0.7505555748939514
1678966280.714374,792,0.7516666650772095
1678966280.7144465,828,0.7519444227218628
1678966280.714518,864,0.753333330154419
1678966280.714595,900,0.7538889050483704
1678966280.714669,936,0.7536110877990723
1678966280.71474,972,0.7541666626930237
1678966280.7148106,1008,0.754444420337677
1678966280.7148805,1044,0.7555555701255798
1678966280.7149513,1080,0.7552777528762817
1678966280.7150216,1116,0.7555555701255798
1678966280.7150922,1152,0.7563889026641846
1678966280.715164,1188,0.7563889026641846
1678966280.7152345,1224,0.7563889026641846
1678966280.7153056,1260,0.7569444179534912
1678966280.7153754,1296,0.7569444179534912
1678966280.7154453,1332,0.7572222352027893
1678966280.7155156,1368,0.7572222352027893
1678966280.7155902,1404,0.7574999928474426
1678966280.7156715,1440,0.7572222352027893
1678966280.7157438,1476,0.7574999928474426
1678966280.7158163,1512,0.757777750492096
1678966280.7158897,1548,0.757777750492096
1678966280.7159607,1584,0.7572222352027893
1678966280.7160316,1620,0.7569444179534912
1678966280.716101,1656,0.7572222352027893
1678966280.7161717,1692,0.757777750492096
1678966280.716242,1728,0.757777750492096
1678966280.7163112,1764,0.758055567741394
1678966280.716382,1800,0.7583333253860474
1678966280.7164512,1836,0.7583333253860474
1678966280.7165205,1872,0.7583333253860474
1678966280.716591,1908,0.7583333253860474
1678966280.716661,1944,0.7583333253860474
1678966280.7167315,1980,0.7583333253860474
1678966280.7168028,2016,0.7583333253860474
1678966280.7168756,2052,0.7586110830307007
1678966280.716945,2088,0.7586110830307007
1678966280.7170138,2124,0.7594444155693054
1678966280.717097,2160,0.7597222328186035
1678966280.71717,2196,0.7597222328186035
1678966280.7172415,2232,0.7597222328186035
1678966280.7173119,2268,0.7599999904632568
1678966280.7173822,2304,0.7599999904632568
1678966280.717452,2340,0.7602777481079102
1678966280.7175221,2376,0.7611111402511597
1678966280.7175918,2412,0.7611111402511597
1678966280.7176905,2448,0.7608333230018616
1678966280.7178094,2484,0.7608333230018616
1678966280.7179174,2520,0.7608333230018616
1678966280.7179997,2556,0.7605555653572083
1678966280.718079,2592,0.7599999904632568
1678966280.7181575,2628,0.7605555653572083
1678966280.7182372,2664,0.7608333230018616
1678966280.7183154,2700,0.7611111402511597
1678966280.7183936,2736,0.7616666555404663
1678966280.7184703,2772,0.7619444727897644
1678966280.7185469,2808,0.7619444727897644
1678966280.7186346,2844,0.7619444727897644
1678966280.7187152,2880,0.7619444727897644
1678966280.7187932,2916,0.7619444727897644
1678966280.718872,2952,0.7619444727897644
1678966280.7189507,2988,0.7619444727897644
1678966280.7190292,3000,0.7627778053283691
